# gate-census v1 — generated by scripts/gate-census.sh; do not edit by hand
# source: d9e7a8d host: Darwin arm64 jobs: 4 generated: 2026-09-25T15:17:49Z suite: da6e3621dede135ed87c38e641caea5435ebf4e289ea3f97c74cf2ae8922718b
# shard-partition: N=13 sha256=94732240378607092fc40b13da6e25c4f18efa2c1f5419bc9ea3c100bc53ec28
id	group	status	wall_seconds	passed	failed	needs	crash_symbol
35-20	sa	ok	22	8	0	-	-
35-21	sa	ok	15	8	0	-	-
35-22	sa	ok	17	5	0	-	-
35-23	sa	ok	15	8	0	-	-
35-24	sa	ok	20	12	0	-	-
36	sa	ok	20	9	0	-	-
37	review	ok	47	34	0	9	-
37-33	review	ok	39	24	0	9	-
37-33b	review	ok	42	27	0	9	-
37-34	review	ok	43	24	0	9	-
37-35	review	ok	44	25	0	9	-
37-36	review	ok	43	23	0	9	-
34	cone	ok	112	94	0	31al	-
38-1	sb	ok	12	8	0	-	-
38-2	sb	ok	14	13	0	38-1	-
38-3	sb	ok	18	17	0	38-2	-
38-4	sb	ok	14	11	0	38-1	-
38-5	sb	ok	14	9	0	-	-
38-5b	sb	ok	18	13	0	-	-
38-6	sb	ok	10	7	0	-	-
38-6b	sb	ok	18	11	0	-	-
38-7	sb	ok	23	10	0	-	-
38-8	sb	ok	23	12	0	38-7	-
38-9	sb	ok	12	7	0	-	-
38-10	sb	ok	12	8	0	-	-
38-11	sb	ok	27	18	0	-	-
39	base	ok	9	34	0	-	-
50	reach	ok	14	33	0	-	-
51	reach	ok	6	6	0	-	-
52	reach	ok	10	9	0	-	-
53	reach	ok	10	8	0	-	-
54	reach	ok	7	9	0	-	-
55	reach	ok	7	5	0	-	-
40	base	ok	25	21	0	-	-
41	base	ok	15	34	0	-	-
42	base	ok	24	11	0	-	-
43	base	ok	8	9	0	-	-
56	base	ok	24	96	0	-	-
57	base	ok	55	79	0	-	-
58	parse	ok	10	85	0	-	-
59	base	ok	45	67	0	-	-
@shard-1-of-13	@shard	ok	364	275	0	-	-
@shard-2-of-13	@shard	ok	331	141	0	-	-
@shard-3-of-13	@shard	ok	380	202	0	-	-
@shard-4-of-13	@shard	ok	372	153	0	-	-
@shard-5-of-13	@shard	ok	399	112	0	-	-
@shard-6-of-13	@shard	ok	429	368	0	-	-
@shard-7-of-13	@shard	ok	386	186	0	-	-
@shard-8-of-13	@shard	ok	386	222	0	-	-
@shard-9-of-13	@shard	ok	323	144	0	-	-
@shard-10-of-13	@shard	ok	366	163	0	-	-
@shard-11-of-13	@shard	ok	386	191	0	-	-
@shard-12-of-13	@shard	ok	444	304	0	-	-
@shard-13-of-13	@shard	ok	462	386	0	-	-
